#,Player,GM,KI,MK,HB,DI,DA,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P,SU
5,"Worpel, James",23,286,52,314,600,26.09,10,9,,92,25,118,149,97,22,39,11,285,333,2,6,19,3,8,77.7,
3,"Newcombe, Jai",22,244,100,309,553,25.14,12,8,,94,31,97,122,88,37,30,18,249,320,8,6,23,8,14,80.7,
11,"Nash, Conor",23,213,60,339,552,24,1,5,1,110,33,76,109,76,19,27,,212,347,1,1,32,4,11,77.8,1/0
12,"Day, Will",21,262,122,275,537,25.57,6,6,,73,39,92,89,68,23,19,8,197,335,9,8,34,13,8,81.1,
6,"Sicily, James",19,324,189,177,501,26.37,2,4,,29,115,34,11,78,21,20,12,154,301,35,,88,15,5,94.7,
10,"Amon, Karl",21,326,113,160,486,23.14,9,2,,37,75,87,24,59,9,9,2,78,399,2,4,23,7,13,82.5,
13,"Moore, Dylan",23,254,107,226,480,20.87,17,19,,91,19,78,31,52,32,9,1,163,328,4,13,27,5,15,87.6,
15,"Hardwick, Blake",23,314,147,153,467,20.3,2,1,,45,126,25,10,48,8,9,,112,284,11,5,76,21,1,86.8,
4,"Impey, Jarman",22,299,120,162,461,20.95,3,4,,48,62,50,12,51,18,13,,106,346,6,,33,16,4,79.5,0/1
31,"Macdonald, Connor",21,209,84,154,363,17.29,12,15,,54,14,54,16,34,13,6,,112,258,2,9,11,5,8,75.4,2/0
25,"Ward, Josh",16,181,76,151,332,20.75,2,3,,31,31,31,32,32,10,8,,85,252,1,2,9,1,6,78,
37,"Weddle, Josh",17,135,87,159,294,17.29,4,,,23,38,36,8,34,5,3,1,80,210,7,1,42,27,2,83.2,
14,"Scrimshaw, Jack",16,157,85,119,276,17.25,4,1,,26,45,16,5,33,7,12,,77,189,11,3,50,27,1,76.4,2/0
1,"Morrison, Harry",13,163,69,78,241,18.54,2,2,,36,30,33,12,38,5,7,,64,172,,3,9,2,4,77.3,1/0
40,"Mitchell, Seamus",14,131,66,102,233,16.64,,1,,25,33,20,1,36,6,7,,54,170,2,,22,14,3,70.9,0/3
8,"Frost, Sam",18,116,75,114,230,12.78,,1,11,36,39,8,6,62,5,23,2,96,136,13,3,71,2,,91.1,
22,"Breust, Luke",21,144,77,81,225,10.71,47,23,,44,2,37,12,54,20,19,1,102,131,12,46,15,1,6,78.7,0/1
20,"Wingard, Chad",14,116,59,82,198,14.14,9,8,,25,6,35,13,35,12,6,,59,138,1,11,9,6,13,66.6,1-Feb
2,"Lewis, Mitch",15,125,85,67,192,12.8,36,20,5,25,,30,2,36,9,12,1,70,119,19,40,26,,10,88.5,
28,"Mackenzie, Cam",14,86,26,100,186,13.29,3,6,,37,6,35,21,30,3,10,,68,127,1,3,4,5,9,63.6,4/0
16,"Bramble, Lachlan",11,120,46,62,182,16.55,1,3,,14,27,23,8,27,3,2,,39,129,2,,9,17,3,68.6,3/0
7,"Reeves, Ned",21,70,31,100,170,8.1,2,2,592,57,8,19,51,55,17,25,,113,62,9,3,54,,,74,0/3
33,"Brockman, Tyler",15,79,50,88,167,11.13,13,8,,34,4,29,2,25,5,6,,53,112,1,20,16,8,10,69.8,0/2
17,"Meek, Lloyd",16,46,36,108,154,9.63,3,2,288,58,17,12,34,36,14,22,,96,70,12,3,41,,4,69.9,1-Feb
9,"Jiath, Changkuoth",8,77,28,59,136,17,1,,,10,22,14,5,31,6,11,,40,93,2,,30,5,2,77.4,
32,"Maginness, Finn",13,65,41,69,134,10.31,1,2,,26,12,15,4,18,3,4,,34,101,,3,4,4,2,81.6,1-Jan
23,"Koschitzke, Jacob",12,56,39,47,103,8.58,9,10,27,27,2,9,4,11,14,2,,60,45,17,22,13,,3,78.8,0/1
36,"Blanck, James",15,50,29,39,89,5.93,,,,23,16,2,2,28,9,17,,45,49,8,,84,,,82.5,1-Jan
26,"Greene, Fergus",11,56,38,33,89,8.09,15,10,,10,,15,2,19,6,7,,32,59,2,23,18,,9,77,0/2
30,"Butler, Sam",8,34,22,49,83,10.38,6,2,,18,2,10,2,13,6,3,,35,52,1,,3,1,5,68.3,2/0
24,"Grainger-Barras, Denver",7,25,19,14,39,5.57,4,1,,3,3,9,,12,5,7,,15,23,3,4,11,,,63.6,1-Jan
27,"Long, Ned",4,14,6,20,34,8.5,1,1,1,16,2,5,2,5,1,2,,12,23,,1,2,1,2,59.8,1/0
44,"Hustwaite, Henry",2,10,5,18,28,14,2,,,8,1,,3,3,3,1,,11,17,1,1,2,,,73,
42,"Macdonald, Bailey",2,13,11,12,25,12.5,,,,2,7,1,1,2,1,,,4,21,1,,,4,,70.5,1/0
29,"Serong, Jai",2,15,8,6,21,10.5,,,,3,2,1,,2,1,,,5,17,,,8,,,50,1/0
46,"Ryan, Brandon",3,15,10,3,18,6,4,1,,3,,4,,8,1,1,,5,13,2,4,,,,62,0/1
38,"Ramsden, Max",2,5,5,9,14,7,,1,14,,1,2,,6,1,1,,7,8,1,2,2,,,64.5,0/1
18,"Lynch, Max",1,,,2,2,2,,,9,1,,1,2,,,,,1,1,,,3,,,34,0/1
